,Team,RPI
0,Cincinnati,0.6657
1,Arizona,0.6378
2,St. John's,0.6354
3,Temple,0.6309
4,Stanford,0.6246
5,Tennessee,0.6199
6,Michigan State,0.6183
7,Maryland,0.6172
8,Kansas,0.6117
9,Oklahoma State,0.6087
10,Tulsa,0.5997
11,Illinois,0.5971
12,Fresno State,0.5945
13,Utah State,0.5924
14,Louisville,0.5845
15,Purdue,0.5830
16,Saint Louis,0.5827
17,Gonzaga,0.5823
18,Miami (Fla.),0.5805
19,Vanderbilt,0.5774
20,North Carolina,0.5769
21,Dayton,0.5736
22,Arkansas,0.5719
23,Indiana State,0.5705
24,Southern Methodist,0.5692
25,UNLV,0.5690
26,Southern Illinois,0.5659
27,Butler,0.5645
28,Charlotte,0.5630
29,Creighton,0.5608
30,Southeast Missouri State,0.5599
31,Arizona State,0.5598
32,New Mexico State,0.5566
33,Marquette,0.5508
34,Mississippi,0.5490
35,California,0.5486
36,Ohio,0.5484
37,Toledo,0.5481
38,Southern California,0.5474
39,TCU,0.5468
40,North Carolina State,0.5466
41,Siena,0.5462
42,New Mexico,0.5454
43,South Carolina,0.5444
44,Miami (Ohio),0.5441
45,Alabama,0.5404
46,Princeton,0.5393
47,Cal State Northridge,0.5383
48,Marshall,0.5372
49,Iona,0.5366
50,Wyoming,0.5349
51,Rutgers,0.5333
52,Weber State,0.5324
53,Appalachian State,0.5307
54,San Diego,0.5298
55,Hawaii,0.5290
56,Saint Joseph's,0.5286
57,Maine,0.5279
58,South Alabama,0.5262
59,Lafayette,0.5254
60,Evansville,0.5248
61,Pittsburgh,0.5229
62,Akron,0.5224
63,Mississippi State,0.5221
64,Eastern Washington,0.5215
65,Navy,0.5209
66,Detroit,0.5205
67,Fordham,0.5200
68,Texas-El Paso,0.5181
69,Oregon State,0.5136
70,Eastern Michigan,0.5118
71,Winthrop,0.5076
72,Northern Iowa,0.5058
73,Fairfield,0.5051
74,Georgia Tech,0.5047
75,Texas Tech,0.5033
76,Austin Peay,0.5018
77,Green Bay,0.5017
78,Louisiana-Monroe,0.5010
79,San Jose State,0.4972
80,Radford,0.4962
81,Florida International,0.4949
82,St. Francis (N.Y.),0.4930
83,Tennessee Tech,0.4917
84,La Salle,0.4901
85,Davidson,0.4900
86,Virginia Commonwealth,0.4883
87,Providence,0.4853
88,Vermont,0.4830
89,Lamar,0.4815
90,Troy,0.4805
91,Northwestern State,0.4802
92,Arkansas State,0.4778
93,Western Michigan,0.4764
94,NC-Greensboro,0.4735
95,Portland State,0.4717
96,Marist,0.4713
97,Idaho,0.4712
98,California Irvine,0.4685
99,Jacksonville State,0.4664
100,Santa Barbara,0.4661
101,Hampton,0.4653
102,Bethune-Cookman,0.4631
103,Tennessee-Martin,0.4614
104,Illinois State,0.4609
105,Valparaiso,0.4601
106,Southern Utah,0.4593
107,NC-Asheville,0.4575
108,Oakland,0.4569
109,East Carolina,0.4555
110,Manhattan,0.4543
111,Air Force,0.4530
112,Wright State,0.4522
113,Southern,0.4500
114,New Orleans,0.4498
115,American,0.4482
116,North Texas,0.4478
117,Nevada,0.4475
118,Illinois-Chicago,0.4470
119,Rhode Island,0.4469
120,Elon,0.4460
121,Maryland-Baltimore County,0.4453
122,Texas-Pan American,0.4417
123,Pacific,0.4406
124,Nicholls State,0.4388
125,Northwestern,0.4380
126,Central Michigan,0.4359
127,Mount St. Mary's,0.4346
128,Buffalo,0.4342
129,Alabama State,0.4328
130,North Carolina A&T;,0.4319
131,Sacramento State,0.4315
132,St. Francis (Pa.),0.4309
133,Wagner,0.4293
134,St. Mary's,0.4266
135,Harvard,0.4226
136,Boston University,0.4187
137,Maryland-Eastern Shore,0.4171
138,Mercer,0.4161
139,Norfolk State,0.4156
140,Rice,0.4128
141,Lehigh,0.4124
142,LIU-Brooklyn,0.4119
143,Florida A&M;,0.4101
144,Denver,0.4083
145,Albany,0.4058
146,Cal State Fullerton,0.4026
