,Team,RPI
0,North Carolina,0.6608
1,Kentucky,0.6531
2,Massachusetts,0.6464
3,Connecticut,0.6369
4,Villanova,0.6331
5,Michigan State,0.6248
6,Oklahoma,0.6233
7,Tulsa,0.6114
8,Missouri,0.6098
9,Purdue,0.6044
10,Iowa State,0.6030
11,Indepenedent,0.5978
12,Syracuse,0.5925
13,Louisville,0.5917
14,Georgetown,0.5888
15,Temple,0.5880
16,Texas,0.5871
17,Alabama,0.5828
18,Charlotte,0.5812
19,Illinois,0.5802
20,Saint Joseph's,0.5790
21,Ohio,0.5764
22,Michigan,0.5755
23,Stanford,0.5704
24,College of Charleston,0.5691
25,Miami (Ohio),0.5685
26,Georgia Tech,0.5682
27,Long Beach State,0.5679
28,Drexel,0.5666
29,Nebraska,0.5659
30,Weber State,0.5651
31,Utah State,0.5632
32,Iowa,0.5615
33,Florida State,0.5600
34,Eastern Michigan,0.5595
35,Green Bay,0.5587
36,Pennsylvania,0.5552
37,Colorado,0.5549
38,New Hampshire,0.5519
39,Clemson,0.5511
40,Texas Tech,0.5493
41,Evansville,0.5479
42,Nevada,0.5468
43,South Florida,0.5439
44,Gonzaga,0.5421
45,Montana State,0.5412
46,Old Dominion,0.5399
47,St. Mary's,0.5364
48,Vanderbilt,0.5353
49,Virginia Commonwealth,0.5338
50,Wisconsin,0.5334
51,NC-Greensboro,0.5320
52,Northeastern,0.5307
53,LSU,0.5285
54,New Orleans,0.5274
55,Pittsburgh,0.5251
56,Illinois-Chicago,0.5218
57,Valparaiso,0.5204
58,New Mexico,0.5185
59,West Virginia,0.5180
60,Missouri State,0.5153
61,Western Michigan,0.5150
62,Idaho State,0.5142
63,Texas-Pan American,0.5137
64,UAB,0.5121
65,Charleston Southern,0.5112
66,La Salle,0.5077
67,Butler,0.5057
68,Arkansas-Little Rock,0.5043
69,Colorado State,0.5030
70,Pacific,0.5021
71,Western Illinois,0.5016
72,Murray State,0.4990
73,Mount St. Mary's,0.4976
74,Chattanooga,0.4957
75,Wichita State,0.4950
76,Wright State,0.4943
77,Tennessee State,0.4933
78,Boston College,0.4914
79,Navy,0.4893
80,Stetson,0.4860
81,Vermont,0.4856
82,Louisiana-Monroe,0.4849
83,Duquesne,0.4830
84,Texas A&M;,0.4820
85,Austin Peay,0.4798
86,East Carolina,0.4789
87,Hartford,0.4769
88,Fresno State,0.4761
89,Morehead State,0.4752
90,Fairfield,0.4732
91,Mississippi,0.4706
92,Loyola Marymount,0.4698
93,Rhode Island,0.4682
94,Mercer,0.4669
95,Liberty,0.4651
96,E. Tennessee State,0.4638
97,Radford,0.4615
98,Stephen F. Austin,0.4612
99,Holy Cross,0.4592
100,Hofstra,0.4571
101,Davidson,0.4561
102,Brown,0.4536
103,Kent State,0.4528
104,Bucknell,0.4516
105,Northwestern State,0.4514
106,Pepperdine,0.4507
107,Creighton,0.4497
108,Houston,0.4467
109,Cal State Fullerton,0.4459
110,Texas State-San Marcos,0.4450
111,Southeastern Louisiana,0.4448
112,Tennessee Tech,0.4447
113,Florida International,0.4414
114,Wagner,0.4410
115,American,0.4390
116,Richmond,0.4385
117,Troy,0.4381
118,Baylor,0.4362
119,NC-Asheville,0.4341
120,Lamar,0.4336
121,Fordham,0.4332
122,Middle Tennessee,0.4316
123,South Carolina State,0.4304
124,Lehigh,0.4286
125,Louisiana-Lafayette,0.4279
126,Iona,0.4264
127,Texas-Arlington,0.4253
128,Florida Atlantic,0.4209
129,Oral Roberts,0.4197
130,George Mason,0.4190
131,Army,0.4146
132,Central Connecticut State,0.4142
133,VMI,0.4126
134,Arkansas State,0.4122
135,Niagara,0.4116
136,Appalachian State,0.4090
137,Winthrop,0.4069
138,Eastern Washington,0.4025
139,Cal State Northridge,0.4010
140,Howard,0.3968
141,Yale,0.3941
142,Sam Houston State,0.3917
143,Harvard,0.3872
144,Grambling,0.3836
145,Wisconsin-Milwaukee,0.3744
146,Morgan State,0.3700
147,Lafayette,0.3551
148,Delaware State,0.3494
149,Prairie View A&M;,0.3487
150,Kansas,0.6581
151,Wake Forest,0.6514
