,Team,RPI
0,Kentucky,0.6816
1,Virginia,0.6671
2,Wisconsin,0.6637
3,Arizona,0.6584
4,Baylor,0.6338
5,Wichita State,0.6286
6,North Carolina,0.6241
7,Northern Iowa,0.6219
8,Oklahoma,0.6161
9,SMU,0.6152
10,Georgetown,0.6134
11,West Virginia,0.6105
12,Notre Dame,0.6005
13,Colorado State,0.5967
14,Michigan State,0.5929
15,Ohio State,0.5900
16,Buffalo,0.5870
17,St. John's,0.5867
18,Temple,0.5864
19,Iowa,0.5857
20,Oklahoma State,0.5841
21,Texas,0.5839
22,Old Dominion,0.5826
23,Tulsa,0.5816
24,Wofford,0.5769
25,UCLA,0.5748
26,Indiana,0.5732
27,Louisiana Tech,0.5722
28,Harvard,0.5712
29,St. Mary's,0.5688
30,Green Bay,0.5681
31,Syracuse,0.5656
32,Miami (Fla.),0.5645
33,Murray State,0.5633
34,Yale,0.5619
35,Central Michigan,0.5574
36,Georgia State,0.5561
37,Toledo,0.5549
38,Illinois State,0.5518
39,Seton Hall,0.5500
40,Minnesota,0.5494
41,High Point,0.5486
42,Santa Barbara,0.5464
43,Arizona State,0.5443
44,Kent State,0.5432
45,Alabama,0.5420
46,UNLV,0.5398
47,Clemson,0.5390
48,California,0.5378
49,William &amp; Mary,0.5361
50,Chattanooga,0.5348
51,South Carolina,0.5339
52,Evansville,0.5313
53,Colorado,0.5308
54,New Mexico State,0.5299
55,Wake Forest,0.5293
56,La Salle,0.5289
57,Albany,0.5282
58,Oregon State,0.5265
59,Florida State,0.5239
60,North Dakota State,0.5225
61,Washington,0.5216
62,TCU,0.5211
63,Penn State,0.5203
64,Cleveland State,0.5198
65,Creighton,0.5190
66,Utah State,0.5186
67,James Madison,0.5171
68,Louisiana-Monroe,0.5167
69,Florida Gulf Coast,0.5156
70,NC-Wilmington,0.5153
71,Lafayette,0.5138
72,Akron,0.5130
73,Sacramento State,0.5125
74,Eastern Kentucky,0.5119
75,Montana,0.5098
76,Marquette,0.5079
77,Oral Roberts,0.5076
78,Norfolk State,0.5072
79,St. Francis (N.Y.),0.5067
80,Boston College,0.5059
81,Eastern Michigan,0.5047
82,Northwestern State,0.5033
83,North Florida,0.5022
84,Texas-Arlington,0.5020
85,Eastern Illinois,0.5013
86,Columbia,0.5002
