,Team,RPI
0,Duke,0.6640
1,Michigan State,0.6419
2,Boston College,0.6352
3,Mississippi,0.6291
4,Texas,0.6280
5,UCLA,0.6240
6,Iowa State,0.6183
7,Oklahoma,0.6141
8,Florida,0.6090
9,Wisconsin,0.6066
10,Southern California,0.6003
11,Creighton,0.5963
12,Notre Dame,0.5956
13,Georgia,0.5929
14,Butler,0.5924
15,Cincinnati,0.5903
16,Virginia,0.5886
17,California,0.5863
18,Brigham Young,0.5847
19,Georgia Tech,0.5837
20,Arkansas,0.5795
21,Richmond,0.5791
22,Villanova,0.5765
23,Missouri,0.5746
24,Oklahoma State,0.5718
25,Alabama,0.5711
26,Southern Miss,0.5696
27,Hawaii,0.5671
28,Auburn,0.5664
29,Utah State,0.5649
30,Tulsa,0.5634
31,TCU,0.5619
32,St. John's,0.5608
33,Purdue,0.5590
34,St. Bonaventure,0.5561
35,California Irvine,0.5539
36,Minnesota,0.5533
37,Gonzaga,0.5523
38,Miami (Fla.),0.5522
39,Pepperdine,0.5498
40,Indiana State,0.5477
41,Santa Clara,0.5453
42,Holy Cross,0.5425
43,Southern Utah,0.5421
44,NC-Wilmington,0.5417
45,North Carolina State,0.5409
46,Kent State,0.5405
47,Memphis,0.5395
48,Delaware,0.5372
49,UNLV,0.5366
50,Baylor,0.5348
51,South Florida,0.5333
52,Marshall,0.5323
53,Austin Peay,0.5314
54,Ohio,0.5306
55,Valparaiso,0.5290
56,Marquette,0.5277
57,Eastern Illinois,0.5258
58,Siena,0.5228
59,Kansas State,0.5198
60,Miami (Ohio),0.5190
61,Troy,0.5171
62,Maine,0.5170
63,Princeton,0.5150
64,Louisville,0.5140
65,Colorado State,0.5113
66,Monmouth,0.5100
67,Canisius,0.5097
68,Virginia Commonwealth,0.5082
69,Boise State,0.5078
70,Navy,0.5071
71,Drexel,0.5059
72,San Jose State,0.5033
73,La Salle,0.5025
74,Chattanooga,0.5005
75,Niagara,0.4997
76,South Carolina State,0.4991
77,Rice,0.4975
78,San Diego,0.4973
79,Green Bay,0.4965
80,Oregon State,0.4942
81,Bowling Green,0.4939
82,DePaul,0.4930
83,Eastern Washington,0.4910
84,Northwestern State,0.4893
85,Old Dominion,0.4885
86,Manhattan,0.4881
87,Florida State,0.4875
88,NC-Greensboro,0.4858
89,East Carolina,0.4848
90,Samford,0.4842
91,Arkansas-Little Rock,0.4834
92,Maryland-Baltimore County,0.4822
93,New Orleans,0.4815
94,Virginia Tech,0.4794
95,Sam Houston State,0.4791
96,Drake,0.4779
97,Idaho State,0.4765
98,Mississippi Valley State,0.4763
99,Texas-San Antonio,0.4732
100,Oakland,0.4726
101,New Mexico State,0.4695
102,Norfolk State,0.4684
103,Nicholls State,0.4671
104,Mercer,0.4658
105,Wagner,0.4645
106,Georgia Southern,0.4636
107,Alcorn State,0.4634
108,Wichita State,0.4627
109,Pennsylvania,0.4611
110,Montana State,0.4591
111,The Citadel,0.4583
112,Davidson,0.4558
113,Delaware State,0.4544
114,Air Force,0.4540
115,San Francisco,0.4532
116,Wofford,0.4487
117,NC-Asheville,0.4466
118,Texas-Arlington,0.4448
119,Texas State-San Marcos,0.4446
120,LIU-Brooklyn,0.4429
121,Northern Arizona,0.4402
122,Northern Iowa,0.4393
123,Maryland-Eastern Shore,0.4381
124,Jacksonville State,0.4363
125,IUPUI,0.4356
126,Colgate,0.4331
127,Yale,0.4302
128,Western Michigan,0.4291
129,Lafayette,0.4276
130,Florida Atlantic,0.4272
131,Tennessee State,0.4259
132,Denver,0.4244
133,St. Peter's,0.4230
134,Furman,0.4216
135,Western Illinois,0.4210
136,Texas A&amp;M-Corpus; Christi,0.4160
137,Loyola-Maryland,0.4126
