year,id,Team,RPI
0,2015,1246,Kentucky,0.6811
1,2015,1438,Virginia,0.6669
2,2015,1458,Wisconsin,0.6639
3,2015,1112,Arizona,0.6583
4,2015,1268,Maryland,0.6333
5,2015,1428,Utah,0.6265
6,2015,1314,North Carolina,0.6245
7,2015,1116,Arkansas,0.6184
8,2015,1433,VCU,0.6165
9,2015,1374,SMU,0.6156
10,2015,1207,Georgetown,0.6128
11,2015,1452,West Virginia,0.6107
12,2015,1323,Notre Dame,0.6007
13,2015,1161,Colorado State,0.5960
14,2015,1277,Michigan State,0.5934
15,2015,1138,Buffalo,0.5904
16,2015,1326,Ohio State,0.5891
17,2015,1208,Georgia,0.5868
18,2015,1396,Temple,0.5866
19,2015,1153,Cincinnati,0.5858
20,2015,1462,Xavier,0.5842
21,2015,1400,Texas,0.5837
22,2015,1401,Texas A&M;,0.5827
23,2015,1409,Tulsa,0.5816
24,2015,1459,Wofford,0.5773
25,2015,1417,UCLA,0.5750
26,2015,1231,Indiana,0.5735
27,2015,1261,LSU,0.5719
28,2015,1463,Yale,0.5698
29,2015,1228,Illinois,0.5686
30,2015,1338,Pittsburgh,0.5675
31,2015,1393,Syracuse,0.5652
32,2015,1390,Stanford,0.5651
33,2015,1434,Valparaiso,0.5641
34,2015,1348,Rhode Island,0.5626
35,2015,1229,Illinois State,0.5570
36,2015,1431,Texas-El Paso,0.5562
37,2015,1141,Central Michigan,0.5548
38,2015,1405,Toledo,0.5511
39,2015,1371,Seton Hall,0.5507
40,2015,1272,Memphis,0.5498
41,2015,1203,George Washington,0.5480
42,2015,1276,Michigan,0.5463
43,2015,1355,South Dakota State,0.5440
44,2015,1113,Arizona State,0.5434
45,2015,1104,Alabama,0.5418
46,2015,1186,Eastern Washington,0.5399
47,2015,1155,Clemson,0.5389
48,2015,1143,California,0.5381
49,2015,1456,William &amp; Mary,0.5362
50,2015,1151,Chattanooga,0.5358
51,2015,1376,South Carolina,0.5332
52,2015,1444,Western Michigan,0.5310
53,2015,1300,North Carolina Central,0.5306
54,2015,1253,Long Beach State,0.5300
55,2015,1448,Wake Forest,0.5291
56,2015,1382,St. Bonaventure,0.5285
57,2015,1392,Stony Brook,0.5284
58,2015,1191,Evansville,0.5279
59,2015,1260,Loyola-Chicago,0.5237
60,2015,1199,Florida State,0.5231
61,2015,1204,Georgia Southern,0.5226
62,2015,1449,Washington,0.5214
63,2015,1137,Bucknell,0.5210
64,2015,1351,Rider,0.5198
65,2015,1336,Penn State,0.5196
66,2015,1166,Creighton,0.5190
67,2015,1195,Florida Gulf Coast,0.5168
68,2015,1419,Louisiana-Monroe,0.5166
69,2015,1205,Gardner-Webb,0.5155
70,2015,1248,Lafayette,0.5147
71,2015,1337,Pepperdine,0.5133
72,2015,1157,Coastal Carolina,0.5122
73,2015,1347,Radford,0.5118
74,2015,1185,Eastern Michigan,0.5110
75,2015,1324,Oakland,0.5100
76,2015,1184,Eastern Kentucky,0.5087
77,2015,1266,Marquette,0.5079
78,2015,1418,UL Lafayette,0.5075
79,2015,1383,St. Francis (N.Y.),0.5063
80,2015,1120,Auburn,0.5058
81,2015,1130,Boston College,0.5054
82,2015,1412,UAB,0.5031
83,2015,1177,DePaul,0.5026
84,2015,1426,Texas-Arlington,0.5021
85,2015,1386,Saint Joseph's,0.5013
86,2015,1145,Canisius,0.4998
87,2015,1218,Hawaii,0.4993
88,2015,1404,UT Martin,0.4968
89,2015,1220,Hofstra,0.4966
90,2015,1384,St. Francis (Pa.),0.4962
91,2015,1190,E. Tennessee State,0.4954
92,2015,1201,Fresno State,0.4940
93,2015,1136,Bryant University,0.4939
94,2015,1292,Middle Tennessee,0.4924
95,2015,1264,Manhattan,0.4921
96,2015,1284,Monmouth,0.4917
97,2015,1362,San Francisco,0.4909
98,2015,1436,Vermont,0.4886
99,2015,1273,Mercer,0.4868
100,2015,1221,Holy Cross,0.4863
101,2015,1150,Charlotte,0.4857
102,2015,1287,Morehead State,0.4853
103,2015,1343,Princeton,0.4846
104,2015,1408,Tulane,0.4838
105,2015,1457,Winthrop,0.4821
106,2015,1367,South Carolina Upstate,0.4814
107,2015,1317,North Texas,0.4812
108,2015,1206,George Mason,0.4770
109,2015,1415,California Riverside,0.4766
110,2015,1175,Delaware State,0.4727
111,2015,1275,Miami (Ohio),0.4716
112,2015,1439,Virginia Tech,0.4689
113,2015,1249,Lamar,0.4682
114,2015,1325,Ohio,0.4680
115,2015,1176,Denver,0.4661
116,2015,1427,Texas-San Antonio,0.4645
117,2015,1416,UCF,0.4632
